#,Moneda,Precio,1 h,24 h,7 d,Volumen en 24 h,Cap. de mercado,FDV,Cap merc/FDV
235,Cartesi CTSI,"$0,151657",-0.7%,-2.8%,2.9%,$4.645.162,$112.962.252,$151.923.957,074
236,LUKSO [OLD] LYXE,"$7,04",-0.5%,-7.2%,13.1%,$253.239,$109.658.894,$704.028.555,016
237,Energy Web EWT,"$2,31",0.4%,-4.4%,-8.8%,$847.931,$109.381.256,$231.252.150,047
238,Open Campus EDU,"$0,578463",-0.2%,-2.8%,-2.8%,$6.114.315,$108.483.712,$578.901.411,019
239,Lido Staked SOL STSOL,"$27,63",-0.4%,-0.6%,2.2%,$566.118,$107.870.945,$107.870.810,100
240,Polymesh POLYX,"$0,126966",0.3%,-1.9%,-2.9%,$1.746.481,$106.655.007,$106.655.007,100
241,Everscale EVER,"$0,058604684744",-0.2%,1.3%,4.3%,$3.441.260,$105.627.765,$122.511.007,086
242,PlayDapp PLA,"$0,187458",-0.6%,-0.7%,7.7%,$10.651.283,$105.417.377,$131.741.452,080
243,Constellation DAG,"$0,036586812917",0.2%,0.4%,-6.3%,$171.780,$105.314.833,$129.573.595,081
244,Synapse SYN,"$0,552008",-0.0%,-2.3%,-4.1%,$2.300.050,$105.101.970,$138.206.532,076
245,Blox CDT,"$0,155530",3.0%,-8.5%,-21.5%,$118.778,$104.940.126,$155.563.837,067
246,Reserve Rights RSR,"$0,002068256784",-0.5%,-5.7%,-1.7%,$7.110.147,$104.780.647,$207.076.378,051
247,Murasaki MURA,"$1,82",-0.0%,-2.1%,-2.2%,"$5.968,07",$104.247.703,$1.816.162.073,006
248,Nervos Network CKB,"$0,003102887181",-0.4%,-6.0%,3.1%,$3.272.585,$103.546.368,-,-
249,NuCypher NU,"$0,073415016560",0.1%,-0.0%,-5.1%,"$1.972,27",$102.416.061,$305.746.748,033
250,Centrifuge CFG,"$0,281066",-0.2%,-0.6%,-6.7%,$227.113,$101.146.202,$125.500.120,081
251,GalleryCoin GLR,"$0,419625",0.0%,-8.7%,-7.7%,"$50.270,59",$101.061.425,$838.983.447,012
252,Wrapped Centrifuge WCFG,"$0,279927",-0.5%,-1.3%,-7.3%,$103.964,$100.841.841,"$0,000000000000",-
253,JOE JOE,"$0,294598",-0.8%,-2.5%,-6.8%,$4.220.720,$100.735.127,$147.506.779,068
254,Pundi X PUNDIX,"$0,387731",-0.0%,-1.4%,0.5%,$3.741.064,$100.229.333,$100.229.333,100
255,CoinEx CET,"$0,033416635208",-0.9%,-1.2%,4.0%,$288.119,$99.772.587,$335.060.521,030
256,Kujira KUJI,"$0,852171",-0.6%,-3.2%,-2.8%,$280.368,$98.805.315,$104.339.202,095
257,Status SNT,"$0,024797443802",-0.0%,-1.3%,-4.2%,$1.519.579,$98.259.816,$168.829.195,058
258,API3 API3,"$1,13",-0.6%,-5.0%,5.6%,$9.039.766,$97.939.523,$142.592.449,069
259,Metars Genesis MRS,"$1,55",-0.1%,0.0%,-1.2%,"$54.648,32",$97.467.132,$1.550.789.696,006
260,Shardus ULT,"$0,220601",0.0%,0.4%,-12.5%,"$800,81",$96.948.031,$220.558.616,044
261,MiL.k Alliance MLK,"$0,317521",0.2%,0.6%,-1.7%,$4.736.708,$95.852.781,$412.981.834,023
262,Decentralized Social DESO,"$9,04",-0.6%,0.6%,0.6%,$118.401,$95.843.401,$98.357.171,097
263,HXRO HXRO,"$0,155605",0.0%,-0.4%,-1.7%,"$7.356,09",$94.942.977,$155.545.895,061
264,Function X FX,"$0,144228",0.0%,0.4%,-7.9%,$549.949,$92.009.172,$272.922.827,034
265,STP STPT,"$0,047054699179",-0.6%,-3.2%,3.2%,$1.293.571,$91.765.476,$91.765.476,100
266,Ergo ERG,"$1,24",-0.2%,-1.4%,4.0%,$532.341,$90.345.028,$121.730.832,074
267,VVS Finance VVS,"$0,000002436934",-0.1%,-0.5%,-3.4%,$248.381,$90.054.892,$243.611.457,037
268,Liquity LQTY,"$0,960794",-0.3%,-1.7%,-5.6%,$8.314.480,$89.451.316,$96.148.129,093
269,iExec RLC RLC,"$1,23",-0.4%,-4.0%,-0.0%,$5.683.592,$89.261.300,$107.287.103,083
270,Telcoin TEL,"$0,001256884383",-0.6%,-4.5%,-6.9%,$373.852,$88.829.352,$125.674.693,071
271,e-Radix EXRD,"$0,058724122374",-2.6%,4.6%,11.3%,$577.840,$88.699.400,$1.407.236.791,006
272,dKargo DKA,"$0,030450793272",-0.0%,-2.6%,-4.3%,$1.227.413,$87.970.380,$143.781.607,061
273,OriginTrail TRAC,"$0,227819",-0.5%,-3.5%,-4.8%,$989.844,$87.211.903,$113.913.591,077
274,Agoric BLD,"$0,146834",0.2%,-9.4%,29.4%,$243.676,$86.800.320,$182.836.712,047
275,Nano XNO,"$0,642963",-0.5%,-1.9%,-4.4%,$858.059,$85.711.392,$85.711.392,100
276,Radiant Capital RDNT,"$0,287792",-0.2%,-1.3%,-2.0%,$10.939.874,$85.623.262,$287.704.429,030
277,Coin98 C98,"$0,154109",-0.3%,-6.2%,-7.3%,$13.440.023,$85.430.421,$154.392.330,055
278,SafeMoon SFM,"$0,000151969311",1.0%,-9.8%,-4.9%,$1.153.283,$85.260.425,$152.598.621,056
279,BENQI Liquid Staked AVAX SAVAX,"$13,36",-0.3%,-1.0%,-3.6%,$134.006,$84.968.689,$84.968.689,100
280,IQ IQ,"$0,005175285204",-0.1%,-0.6%,-2.8%,$2.243.702,$84.873.283,$108.712.394,078
281,Nym NYM,"$0,159640",0.3%,0.1%,-10.7%,$631.137,$84.393.911,$159.701.976,053
282,Metal DAO MTL,"$1,30",-0.0%,-1.3%,-0.8%,$6.814.929,$84.074.832,$86.617.900,097
283,Alchemy Pay ACH,"$0,016857319541",-0.6%,-2.5%,-3.4%,$5.157.031,$83.512.585,$168.927.597,049
284,Swell Ethereum SWETH,"$1.884,02",0.1%,-0.2%,-0.6%,$300.593,$83.440.715,$83.440.715,100
285,MVL MVL,"$0,003543900886",0.2%,-0.3%,-1.7%,$1.906.064,$83.146.522,$106.357.397,078
286,Bitgert BRISE,"$0,000000209291",-0.0%,-4.3%,-9.7%,$1.345.334,$82.793.838,$209.240.091,040
287,Linear LINA,"$0,014993385398",0.1%,-0.4%,6.1%,$14.300.706,$82.638.949,$149.932.420,055
288,Stride STRD,"$0,947309",0.3%,2.1%,12.3%,"$43.331,26",$82.276.514,$94.753.789,087
289,Decimal DEL,"$0,017505309398",-0.5%,0.1%,9.0%,"$5.958,21",$82.269.195,$1.612.907.460,005
290,Numeraire NMR,"$13,05",-1.5%,-1.4%,-4.3%,$3.432.109,$82.118.867,$143.700.712,057
291,DeXe DEXE,"$2,24",0.0%,-0.8%,0.3%,$1.045.756,$81.613.894,$215.785.092,038
292,Origin Ether OETH,"$1.839,95",0.2%,-0.1%,-0.5%,"$13.317,13",$81.332.730,$81.332.730,100
293,Steem STEEM,"$0,183985",0.2%,-1.4%,-0.0%,$1.924.668,$81.235.220,-,-
294,inSure DeFi SURE,"$0,003054524351",0.1%,71.0%,-5.8%,"$5.536,69",$80.831.329,$268.788.352,030
295,Orbs ORBS,"$0,025061914440",0.1%,-1.6%,-4.0%,$1.132.213,$80.670.814,$250.726.197,032
296,Vulcan Forged PYR,"$3,38",0.4%,0.6%,9.0%,$17.200.587,$80.632.998,$168.704.515,048
297,Secret SCRT,"$0,381428",-0.8%,16.4%,13.7%,$9.235.403,$80.348.814,-,-
298,Access Protocol ACS,"$0,002629942234",0.8%,17.6%,30.7%,$9.414.139,$79.711.892,$243.702.667,033
299,Medibloc MED,"$0,011652496323",-0.0%,-0.7%,-5.9%,$791.813,$79.655.951,$116.590.220,068
300,Stella ALPHA,"$0,099655853190",-0.1%,-1.1%,-3.2%,$1.978.532,$79.652.712,$99.815.429,080
301,Quiztok QTCON,"$0,012406625233",-1.5%,42.1%,195.3%,$66.102.529,$79.292.042,$150.279.896,053
302,Radworks RAD,"$1,58",-0.1%,-2.4%,-2.4%,$5.489.925,$79.026.701,$158.595.448,050
303,QANplatform QANX,"$0,034663164454",4.2%,4.3%,10.6%,$975.916,$78.929.454,$116.042.562,068
304,Celer Network CELR,"$0,013916086921",-0.5%,-2.7%,-3.9%,$2.917.792,$78.520.710,$139.086.595,056
305,Astrafer ASTRAFER,"$0,500183",-0.3%,-0.9%,-2.3%,"$7.088,33",$78.473.030,$445.151.066,018
306,Kinesis Gold KAU,"$61,25",-0.2%,-0.3%,-1.4%,"$59.728,66",$78.065.622,-,-
307,OMG Network OMG,"$0,555625",-0.6%,-3.4%,-3.9%,$17.622.796,$77.954.840,$77.954.840,100
308,Nerve Finance NRV,"$0,003513321106",0.1%,0.1%,-2.9%,"$15.832,48",$77.747.624,$156.256.967,-
309,Dogelon Mars ELON,"$0,000000141159",-0.7%,-2.3%,-6.6%,$10.880.402,$77.667.117,$141.302.868,055
310,Kinesis Silver KAG,"$22,58",-0.2%,-0.3%,-1.9%,"$67.544,08",$77.074.068,-,-
311,MaidSafeCoin EMAID,"$0,179531",0.9%,0.3%,-0.8%,"$6.801,93",$76.302.113,-,-
312,World$tateCoin W$C,"$0,081094405383",-0.0%,-0.9%,-1.6%,$876.575,$75.552.821,$81.448.298,093
313,Hermez Network HEZ,"$4,51",0.3%,-9.4%,-1.8%,"$20.678,61",$75.201.719,$85.339.994,088
314,Prom PROM,"$4,11",0.1%,-0.9%,-2.3%,$1.398.127,$75.024.516,$79.135.448,095
315,StormX STMX,"$0,006800143668",-0.2%,1.9%,2.0%,$14.575.118,$74.857.208,$85.065.010,088
316,Marlin POND,"$0,009222228326",0.3%,5.7%,9.3%,$5.137.205,$74.384.790,$91.976.421,081
317,Wrapped NXM WNXM,"$31,38",1.4%,1.8%,-0.0%,$1.081.036,$74.364.624,$74.364.624,100
318,Syscoin SYS,"$0,103229",-0.0%,-2.0%,-2.2%,$770.265,$74.088.361,$77.150.627,096
319,RSK Infrastructure Framework RIF,"$0,075735495913",-0.1%,-2.2%,-1.4%,$413.626,$73.677.302,$75.693.784,097
320,Bad Idea AI BAD,"$0,000000145212",-0.8%,-5.3%,66.0%,$7.919.529,$73.489.339,$121.486.979,060
321,My Neighbor Alice ALICE,"$0,937504",-0.5%,-1.9%,1.3%,$18.247.649,$73.036.871,$93.843.263,078
322,Ardor ARDR,"$0,072842167093",0.1%,-1.0%,-1.5%,$631.898,$72.759.955,$72.759.955,100
323,Dent DENT,"$0,000754814271",0.1%,-3.0%,-4.7%,$2.253.973,$72.313.535,$75.598.312,096
324,SmarDex SDEX,"$0,010615458579",0.1%,-1.2%,2.1%,$833.852,$72.302.846,$106.144.944,068
325,Wilder World WILD,"$0,283694",-0.3%,-1.1%,-1.5%,$289.742,$72.187.064,$142.039.127,051
326,SPACE ID ID,"$0,251428",-0.4%,-2.8%,-7.2%,$7.900.602,$72.013.580,$503.591.470,014
327,Ankr Staked ETH ANKRETH,"$2.070,10",-0.1%,-0.2%,-0.4%,"$3.364,89",$71.089.815,$71.089.815,100
328,VeThor VTHO,"$0,001073116195",-0.1%,-0.6%,0.7%,$676.881,$70.717.151,-,-
329,Songbird SGB,"$0,006034560307",-0.0%,-2.1%,-10.3%,$280.376,$70.531.696,$105.733.408,067
330,Dock DOCK,"$0,015462776175",-0.4%,-1.5%,2.7%,$520.090,$70.448.413,-,-
331,Echelon Prime PRIME,"$3,11",0.6%,10.3%,65.2%,$3.688.006,$70.300.858,$345.311.558,020
332,Stratis STRAX,"$0,461533",-0.6%,-1.6%,-1.6%,$310.782,$70.261.105,-,-
333,Share SHR,"$0,001402351162",0.1%,-3.1%,-7.3%,"$46.094,63",$69.453.171,-,-
334,Tokamak Network TON,"$1,43",0.0%,-0.8%,-0.8%,$652.463,$69.070.307,$71.772.104,096
335,DODO DODO,"$0,112068",-1.0%,-5.3%,-13.4%,$23.058.015,$68.945.814,$111.756.008,062
336,Civic CVC,"$0,085759408521",0.3%,-1.7%,0.3%,$1.698.513,$68.612.141,$85.551.296,080
337,ChainX PCX,"$0,092002439105",-1.0%,-6.9%,5.8%,$322.095,$68.530.128,-,-
338,Doge Killer LEASH,"$574,39",-14.1%,0.2%,6.8%,$4.927.276,$68.425.793,$68.502.575,100
339,Power Ledger POWR,"$0,158619",0.0%,-2.1%,0.5%,$3.504.599,$68.183.560,$158.672.364,043
340,Smooth Love Potion SLP,"$0,001627138695",-0.5%,-1.3%,0.7%,$5.155.145,$67.842.691,-,-
341,XCAD Network XCAD,"$1,58",-0.3%,1.9%,11.9%,$3.682.783,$67.708.130,$316.232.592,021
342,Hunt HUNT,"$0,339367",-0.1%,-1.4%,-1.4%,$1.673.995,$67.625.569,$67.625.569,100
343,Maverick Protocol MAV,"$0,268301",-1.6%,-6.8%,-12.3%,$4.658.424,$67.099.654,$536.797.230,013
344,Venus XVS,"$4,38",0.3%,0.6%,-1.6%,$2.466.814,$66.676.560,$131.546.542,051
345,Gitcoin GTC,"$1,09",-0.1%,-2.9%,3.6%,$16.305.679,$66.639.977,$109.491.103,061
346,Bancor Network BNT,"$0,453650",-0.4%,-4.6%,-19.3%,$1.391.391,$66.289.453,$66.289.453,100
347,VitaDAO VITA,"$2,76",1.0%,-1.5%,-2.4%,"$20.594,38",$65.715.080,$177.408.500,037
348,WINkLink WIN,"$0,000068060664",-0.3%,0.4%,1.8%,$18.911.058,$65.474.011,$68.010.814,096
349,Hashflow HFT,"$0,373599",0.9%,-4.4%,1.8%,$12.665.524,$65.472.847,$373.641.285,018
350,Verge XVG,"$0,003939723274",-0.3%,-6.9%,-6.9%,$6.122.681,$65.134.405,$65.269.071,100
351,NKN NKN,"$0,098907745044",-0.7%,-5.1%,-2.1%,$3.908.788,$64.371.371,$99.032.878,065
352,Metis METIS,"$14,77",-0.1%,-3.3%,-10.9%,$1.660.590,$64.307.330,$147.686.228,044
353,Celsius Network CEL,"$0,150902",-1.4%,-3.4%,-2.9%,$461.554,$64.225.219,$105.079.269,061
354,AVINOC AVINOC,"$0,383567",-0.7%,-7.7%,-2.3%,"$99.424,73",$64.047.006,$383.472.379,017
355,Chromia CHR,"$0,111483",-0.7%,-5.1%,-5.1%,$6.371.953,$63.863.978,$111.592.483,057
356,Pendle PENDLE,"$0,655861",-0.2%,-8.0%,-8.7%,$13.100.519,$63.554.232,$169.419.457,038
357,QuarkChain QKC,"$0,009121008845",-0.0%,-1.5%,-6.2%,$833.702,$63.165.707,$91.802.637,069
358,ConstitutionDAO PEOPLE,"$0,012347844944",-1.2%,-3.8%,-4.5%,$5.051.959,$62.833.495,$62.833.495,100
359,Clash of Lilliput COL,"$0,765400",0.1%,0.0%,-1.4%,"$55.583,38",$62.825.811,$765.473.896,008
360,Stader MaticX MATICX,"$0,705933",-0.5%,-2.9%,-4.2%,$621.811,$62.487.651,$7.057.154.410,001
361,Keep Network KEEP,"$0,112622",-0.9%,-1.4%,-2.1%,$206.906,$62.151.629,$113.061.281,055
362,Bifrost BFC,"$0,044224683236",-0.6%,1.3%,-0.3%,$630.875,$61.614.682,$104.758.758,059
363,Xido Finance XIDO,"$2,14",0.0%,-0.5%,-8.2%,"$11.646,96",$60.696.338,$214.365.135,028
364,Concordium CCD,"$0,007879989915",-0.4%,-0.4%,-2.1%,$324.534,$60.306.473,$97.303.350,062
365,Artificial Liquid Intelligence ALI,"$0,016781876569",0.2%,1.0%,-0.7%,$290.102,$60.140.999,$167.609.410,036
366,Phala PHA,"$0,100638",1.1%,-8.5%,7.4%,$30.074.286,$60.009.485,$100.756.275,060
367,Yield Guild Games YGG,"$0,321643",-0.8%,-1.3%,-8.3%,$46.810.963,$59.654.941,$322.241.410,019
368,Beta Finance BETA,"$0,083447385143",-0.1%,-2.0%,-2.8%,$3.015.137,$59.036.499,$83.434.880,071
369,Request REQ,"$0,076718499476",-0.9%,-1.2%,-1.8%,$897.963,$59.032.171,$76.782.541,077
370,Gelato GEL,"$0,267622",0.6%,4.0%,5.4%,$133.633,$58.750.376,$112.491.542,052
371,Arkham ARKM,"$0,387538",-3.9%,-8.9%,-8.4%,$11.258.534,$58.360.460,$389.069.732,015
372,Covalent CQT,"$0,095309349009",-0.2%,-3.0%,-2.2%,$414.904,$58.047.072,$95.484.715,061
373,COTI COTI,"$0,047227044493",-0.0%,-3.9%,-5.3%,$2.664.289,$57.627.989,$94.529.766,061
374,Mobox MBOX,"$0,276600",-0.3%,-2.2%,-4.5%,$1.893.559,$57.306.318,$276.693.407,021
375,Refereum RFR,"$0,011509241693",-0.6%,-2.5%,-3.5%,$8.181.130,$56.162.638,$57.572.162,098
376,Sun Token SUN,"$0,005866344419",0.5%,7.3%,8.0%,$26.332.231,$56.042.919,$116.619.028,048
377,REN REN,"$0,055844292634",-0.2%,-2.9%,-6.8%,$16.130.679,$55.934.938,$55.934.938,100
378,MovieBloc MBL,"$0,003383728320",-0.7%,0.0%,5.7%,$1.640.203,$55.894.292,$101.633.954,055
379,flexUSD FLEXUSD,"$0,284514",-,-,-,-,$55.864.344,$55.864.344,-
380,CANTO CANTO,"$0,106235",-0.4%,-1.1%,-1.5%,$1.380.565,$55.700.989,$106.348.764,052
381,Spell SPELL,"$0,000464089042",-0.5%,-3.7%,-1.5%,$5.694.260,$55.245.424,$97.474.981,057
382,UXD Protocol UXP,"$0,013901064558",0.2%,-4.6%,-12.8%,"$21.387,49",$55.200.964,$97.501.276,057
383,World Mobile Token WMT,"$0,126987",-0.6%,0.1%,-9.2%,$437.250,$55.037.306,$254.902.644,022
384,Mdex (HECO) MDX,"$0,057864313690",-0.1%,-0.5%,-0.9%,"$68.927,52",$54.973.403,$61.322.821,090
385,Sweatcoin (Sweat Economy) SWEAT,"$0,006967392032",0.1%,1.0%,4.6%,$585.884,$54.193.727,$157.143.050,034
386,SX Network SX,"$0,110760",0.2%,0.1%,-0.5%,$259.998,$54.174.756,$110.651.054,049
387,Euro Coin EUROC,"$1,09",-0.0%,0.2%,-0.1%,$2.344.412,$54.055.984,$54.055.984,100
388,Dynex DNX,"$0,806330",0.4%,-15.2%,-36.4%,$915.809,$53.816.033,$80.587.169,067
389,Shentu CTK,"$0,577601",-0.9%,-2.6%,2.7%,$2.158.008,$53.711.294,$71.155.289,075
390,DUSK Network DUSK,"$0,125309",0.0%,-5.3%,3.1%,$13.190.235,$53.678.666,$125.530.536,043
391,Galxe GAL,"$1,15",-0.1%,-4.6%,-5.5%,$8.331.878,$53.462.251,$229.721.227,023
392,Cyberconnect CYBER,"$4,82",-2.0%,-31.0%,,$87.746.114,$53.113.985,$481.192.105,011
393,Marblex MBX,"$0,879833",0.2%,-4.2%,9.0%,$1.319.388,$53.006.929,$877.410.166,006
394,RSS3 RSS3,"$0,107562",-0.0%,-2.1%,-18.9%,$2.010.596,$52.662.572,$107.639.392,049
395,Pocket Network POKT,"$0,033952186758",-0.5%,-0.6%,19.6%,$593.833,$52.633.372,$55.656.042,095
396,Fidu FIDU,"$0,774421",0.0%,-4.0%,-6.7%,"$23.788,04",$52.428.820,$52.428.820,100
397,Gomining Token GMT,"$0,119853",0.1%,-1.5%,-2.0%,$342.096,$52.298.083,$52.298.083,100
398,Magic Internet Money MIM,"$0,997929",0.0%,0.3%,-1.8%,$1.489.303,$52.176.753,$171.345.512,030
399,ARK ARK,"$0,297871",-0.0%,-2.7%,5.4%,$10.899.662,$52.022.806,-,-
400,XSGD XSGD,"$0,736701",0.0%,-0.0%,-0.8%,$7.990.520,$51.587.987,$51.587.987,100
401,WazirX WRX,"$0,112754",-0.3%,-3.2%,-7.2%,$678.127,$51.397.659,$112.586.510,046
402,Coinweb CWEB,"$0,015982181043",-0.1%,-3.6%,-10.7%,$206.784,$51.129.300,$122.722.020,042
403,Nest Protocol NEST,"$0,008584851373",2.3%,7.9%,4.9%,$896.509,$51.047.999,$86.089.277,059
404,ARPA ARPA,"$0,051580739253",-0.5%,-4.0%,-4.6%,$7.745.977,$50.740.795,$103.323.371,049
405,DexTools DEXT,"$0,536558",-0.3%,-0.1%,-9.6%,$226.080,$50.601.636,$73.239.420,069
406,Koda Cryptocurrency KODA,"$0,000031024469",-,-,-,-,$50.208.210,$1.023.807,-
407,DOLA DOLA,"$0,994809",-0.0%,-0.1%,0.1%,$1.005.248,$49.854.825,$62.466.061,080
408,Cobak CBK,"$0,646570",-0.1%,-0.4%,4.7%,$1.997.950,$49.544.273,$64.808.180,076
409,BOB BOB,"$0,998987",0.0%,-0.1%,-0.0%,$373.899,$49.447.776,-,-
410,Ultra UOS,"$0,182747",0.2%,1.0%,-1.3%,$1.121.243,$49.282.536,$182.263.345,027
411,r/CryptoCurrency Moons MOON,"$0,461651",-0.2%,-4.8%,7.1%,$495.752,$49.271.560,$49.784.428,099
412,Sologenic SOLO,"$0,123496",-0.3%,-3.3%,-8.5%,$580.259,$49.238.144,$49.336.976,100
413,FUNToken FUN,"$0,004638015311",-0.8%,-1.7%,-7.1%,$610.986,$49.182.366,$51.043.115,096
414,Hooked Protocol HOOK,"$0,968573",0.2%,-4.0%,-1.4%,$6.826.332,$48.449.889,$484.498.894,010
415,Euler EUL,"$2,59",-0.2%,1.5%,2.3%,$260.533,$48.398.054,$70.496.720,069
416,Creditcoin CTC,"$0,192505",0.1%,0.3%,-1.7%,$18.300.997,$48.381.559,$384.798.658,013
417,XYO Network XYO,"$0,003474200619",-0.6%,-0.7%,-3.4%,$334.061,$48.376.120,$48.376.120,100
418,TempleDAO TEMPLE,"$1,04",-0.0%,0.3%,0.9%,"$12.240,94",$47.716.006,$173.856.368,027
419,Dawn Protocol DAWN,"$0,639722",-0.1%,-0.6%,0.3%,$998.346,$47.650.084,$49.009.173,097
420,Ecoin ECOIN,"$0,000102908044",0.0%,-32.2%,-33.5%,"$23,21",$47.437.303,$102.873.708,046
421,Adventure Gold AGLD,"$0,612016",-0.3%,-4.0%,-2.2%,$10.001.494,$47.285.144,$48.949.424,097
422,Aergo AERGO,"$0,107261",0.2%,0.2%,-0.2%,$772.747,$47.210.210,$53.647.966,088
423,THORSwap THOR,"$0,356787",0.4%,-14.4%,297.3%,$2.388.077,$47.077.522,$164.356.793,029
424,Raydium RAY,"$0,210198",-0.3%,-0.7%,-0.8%,$2.022.084,$47.043.307,$116.697.606,040
425,AllianceBlock Nexera NXRA,"$0,063406335633",1.2%,1.6%,-0.3%,$296.879,$46.956.817,$54.013.622,087
426,SOMESING Exchange SSX,"$0,016521001283",-0.4%,-1.0%,-2.5%,$440.020,$46.705.999,$99.175.005,047
427,Gods Unchained GODS,"$0,194682",-2.2%,11.7%,15.6%,$1.701.085,$46.536.036,$97.486.920,048
428,Bytom BTM,"$0,025778230101",-0.1%,-1.6%,4.3%,$204.845,$46.400.487,$54.114.230,086
429,Badger DAO BADGER,"$2,35",-1.0%,-9.6%,7.1%,$35.840.409,$46.391.018,$49.286.261,094
430,Aavegotchi GHST,"$0,901868",0.1%,-2.8%,-4.2%,$1.123.219,$46.113.231,$47.546.967,097
431,ALEX Lab ALEX,"$0,075239023081",-1.0%,-0.7%,-3.7%,$282.962,$46.110.696,$75.260.354,061
432,Pirate Chain ARRR,"$0,234419",-0.2%,-1.8%,12.3%,"$33.532,42",$45.998.316,$46.885.914,098
433,Tenset 10SET,"$0,272331",-0.1%,-0.4%,2.5%,"$17.221,66",$45.991.265,$45.991.265,100
434,Rally RLY,"$0,009166965064",5.6%,32.4%,37.9%,$7.957.455,$45.984.521,$137.626.216,033
435,DFUK DFUK,"$2,19",-,-,-,-,$45.964.205,$45.964.205,-
436,Boba Network BOBA,"$0,132946",-0.0%,0.1%,0.4%,$854.555,$45.539.067,$66.426.354,069
437,COMBO COMBO,"$0,637837",-0.1%,-2.8%,-0.3%,$2.496.047,$45.348.648,$63.824.817,071
438,Voyager VGX VGX,"$0,153760",0.1%,-1.3%,-7.0%,$5.223.840,$45.228.666,$45.228.666,100
439,Origin Protocol OGN,"$0,089592341345",-0.5%,-4.6%,-6.9%,$20.987.914,$45.136.270,$89.782.640,050
440,Real USD USDR,"$0,998569",-0.1%,0.0%,0.2%,$413.698,$45.114.507,$45.114.507,100
441,SuperRare RARE,"$0,072918637574",-0.7%,2.2%,-0.5%,$1.565.874,$45.073.583,$72.985.277,062
442,Verasity VRA,"$0,004334470942",-0.0%,-0.3%,-6.0%,$3.020.501,$44.662.190,$478.256.775,009
443,Strike STRK,"$11,50",0.0%,-1.4%,0.4%,$2.684.091,$44.324.524,$75.283.673,059
444,Dero DERO,"$3,49",0.1%,1.1%,-14.7%,"$20.855,15",$44.269.272,$73.331.935,060
445,Firmachain FCT,"$0,060982596283",-0.1%,0.1%,6.0%,$4.206.502,$44.217.071,$46.443.873,095
446,Alien Worlds TLM,"$0,012060956203",-0.8%,-7.4%,5.2%,$9.232.399,$44.030.489,$120.642.726,036
447,Metadium META,"$0,025784300529",0.0%,-1.4%,-6.3%,$1.209.303,$43.527.500,$51.592.135,084
448,Axion AXN,"$0,000003415657",0.0%,-0.4%,0.2%,"$261,99",$43.431.003,-,-
449,Acala ACA,"$0,056099851275",0.0%,-4.1%,-3.9%,$2.300.619,$43.260.455,$89.729.682,048
450,AirTor Protocol ATOR,"$0,586093",2.2%,-0.3%,12.0%,$127.289,$42.516.204,$58.424.903,073
451,Morpheus Network MNW,"$1,14",0.4%,1.5%,6.1%,$180.511,$42.479.533,$54.228.323,078
452,Zignaly ZIG,"$0,005467250374",1.1%,2.9%,2.1%,$388.223,$42.062.845,$147.937.959,-
453,Carry CRE,"$0,004760167698",0.6%,5.4%,-0.6%,$12.889.540,$41.981.934,$47.615.235,088
454,Bficoin BFIC,"$22,02",0.1%,-0.3%,-10.0%,$455.812,$41.549.168,$461.712.631,009
455,Vega Protocol VEGA,"$0,778861",-0.0%,-2.5%,-9.2%,$142.942,$41.281.757,$50.609.388,082
456,Humans.ai HEART,"$0,009150713368",-0.6%,-4.8%,-5.9%,$211.356,$41.201.474,$71.344.543,058
457,T-mac DAO TMG,"$23,52",-0.0%,12.5%,54.0%,"$70.471,13",$41.159.225,$23.519.556.912,000
458,Moonriver MOVR,"$5,43",1.3%,4.9%,6.4%,$2.791.291,$40.897.132,$59.687.715,069
459,CEEK Smart VR CEEK,"$0,048829808644",-1.1%,0.3%,-1.4%,$5.889.626,$40.635.708,$48.915.935,083
460,Storj STORJ,"$0,282000",-0.6%,-2.8%,-3.2%,$11.475.500,$40.620.003,$120.062.653,034
461,Maple MPL,"$5,10",-0.2%,-4.2%,-12.4%,$588.445,$40.546.551,$51.200.567,079
462,ThunderCore TT,"$0,003914163622",-0.0%,-0.9%,-1.6%,$2.261.010,$40.523.659,$40.523.659,100
463,Loom Network (OLD) LOOMOLD,"$0,048418900652",0.9%,1.3%,-1.2%,$119.267,$40.396.194,$48.441.646,083
464,sUSD SUSD,"$0,997843",0.0%,-0.0%,0.0%,$213.371,$40.390.192,$40.390.192,100
465,Aura Finance AURA,"$1,19",-0.1%,0.5%,-5.2%,$236.325,$40.378.148,$118.403.185,034
466,IDEX IDEX,"$0,052528716665",-0.1%,-3.1%,-0.4%,$2.810.804,$40.006.156,$52.564.863,076
467,Bella Protocol BEL,"$0,669437",-0.0%,-1.1%,2.0%,$1.490.096,$39.903.866,$67.065.320,060
468,TrueFi TRU,"$0,037333483446",0.0%,-4.2%,2.8%,$2.092.387,$39.850.066,$44.751.974,089
469,Osaka Protocol OSAK,"$0,000000052253",-3.6%,4.0%,95.7%,$790.314,$39.797.608,$52.262.125,076
470,BiLira TRYB,"$0,036329429603",1.1%,0.5%,0.2%,$105.907,$39.513.114,$39.513.114,100
471,Wanchain WAN,"$0,199757",0.8%,-0.3%,-0.5%,$1.077.715,$39.315.708,$41.925.612,094
472,Meter Governance MTRG,"$1,82",-0.9%,-0.3%,0.1%,"$28.810,59",$39.227.091,$81.827.320,048
